id,fake,real
TEST_00000,0.9790712594985962,0.021084172651171684
TEST_00001,0.9813358783721924,0.018745992332696915
TEST_00002,0.9947274327278137,0.0053054871968925
TEST_00003,0.00933769065886736,0.9906867146492004
TEST_00004,0.04124872013926506,0.9589653611183167
TEST_00005,0.00014229868247639388,0.9998558759689331
TEST_00006,0.48191502690315247,0.5198289752006531
TEST_00007,0.0018999314634129405,0.9981050491333008
TEST_00008,0.0039550503715872765,0.99605393409729
TEST_00009,0.7541462182998657,0.2448953241109848
TEST_00010,0.9991297125816345,0.0008733422146178782
TEST_00011,0.9569752812385559,0.04339293763041496
TEST_00012,0.0008335149614140391,0.9991625547409058
TEST_00013,0.09586362540721893,0.9046497344970703
TEST_00014,0.9941330552101135,0.00584027636796236
TEST_00015,0.035337381064891815,0.9648140668869019
TEST_00016,0.008746657520532608,0.991289496421814
TEST_00017,0.31789329648017883,0.6857049465179443
TEST_00018,1.1574214113352355e-05,0.999988317489624
TEST_00019,0.3010002076625824,0.6994693279266357
TEST_00020,0.10790079832077026,0.8925788998603821
TEST_00021,0.010300728492438793,0.9897750616073608
TEST_00022,0.030649105086922646,0.9694347381591797
TEST_00023,0.9480521082878113,0.05175819993019104
TEST_00024,0.29565319418907166,0.7046518921852112
TEST_00025,0.9930548071861267,0.006949986331164837
TEST_00026,0.9487130641937256,0.05160851776599884
TEST_00027,0.18931454420089722,0.810273289680481
TEST_00028,0.9421483278274536,0.057992156594991684
TEST_00029,0.999778687953949,0.00022137881023809314
TEST_00030,0.07013634592294693,0.9313293099403381
TEST_00031,0.8718673586845398,0.1272919625043869
TEST_00032,0.5879536271095276,0.4144790470600128
TEST_00033,0.00016675132792443037,0.9998341798782349
TEST_00034,0.00027747644344344735,0.9997267127037048
TEST_00035,0.254447340965271,0.7495689988136292
TEST_00036,0.5201771855354309,0.48394379019737244
TEST_00037,0.09707553684711456,0.9034069776535034
TEST_00038,0.5181017518043518,0.48418155312538147
TEST_00039,0.9873515367507935,0.012602321803569794
TEST_00040,0.623677670955658,0.3744373321533203
TEST_00041,0.002002342836931348,0.9980056881904602
TEST_00042,0.013531670905649662,0.9865217804908752
TEST_00043,0.0005557145341299474,0.9994469285011292
TEST_00044,0.9372952580451965,0.06334321200847626
TEST_00045,0.8185696005821228,0.18195368349552155
TEST_00046,0.23719145357608795,0.7627596855163574
TEST_00047,0.012111146934330463,0.9880430698394775
TEST_00048,0.012543261051177979,0.987595796585083
TEST_00049,2.4033663521549897e-06,0.999997615814209
TEST_00050,0.7702178359031677,0.23036426305770874
TEST_00051,0.0749521255493164,0.9252594709396362
TEST_00052,0.7615985870361328,0.23743706941604614
TEST_00053,0.9815675616264343,0.01825077459216118
TEST_00054,0.9539030194282532,0.04692773520946503
TEST_00055,0.991530179977417,0.008603350259363651
TEST_00056,0.9848640561103821,0.01526970136910677
TEST_00057,0.0005487289163284004,0.9994462132453918
TEST_00058,0.754310667514801,0.24984750151634216
TEST_00059,0.6189655661582947,0.38048678636550903
TEST_00060,0.0013193952618166804,0.9986807703971863
TEST_00061,0.0015877586556598544,0.9984025359153748
TEST_00062,0.17665274441242218,0.8244400024414062
TEST_00063,0.042737673968076706,0.9578930139541626
TEST_00064,0.025540094822645187,0.9750528931617737
TEST_00065,0.004771573003381491,0.9952219128608704
TEST_00066,0.04332292452454567,0.956626832485199
TEST_00067,0.7649048566818237,0.23461304605007172
TEST_00068,0.18487484753131866,0.814069390296936
TEST_00069,0.8684523701667786,0.13215138018131256
TEST_00070,0.6329596638679504,0.37161388993263245
TEST_00071,0.87310791015625,0.12656943500041962
TEST_00072,0.03736523538827896,0.9630123376846313
TEST_00073,5.314715235726908e-05,0.9999470710754395
TEST_00074,0.9839280843734741,0.01608465425670147
TEST_00075,0.03816894441843033,0.9617652893066406
TEST_00076,0.879255473613739,0.12338293343782425
TEST_00077,0.05740388110280037,0.9424909949302673
TEST_00078,3.4226981370011345e-05,0.9999659061431885
TEST_00079,0.9336413741111755,0.06800933927297592
TEST_00080,0.7511941194534302,0.247880756855011
TEST_00081,0.9794989228248596,0.020405728369951248
TEST_00082,0.0017903815023601055,0.9982253909111023
TEST_00083,0.0036231880076229572,0.9965026378631592
TEST_00084,0.9842580556869507,0.015623204410076141
TEST_00085,0.03159787505865097,0.9682180285453796
TEST_00086,0.47230100631713867,0.5309403538703918
