id,fake,real
TEST_00000,0.7856956124305725,0.25089848041534424
TEST_00001,0.025510935112833977,0.9780308604240417
TEST_00002,0.3241114914417267,0.7201691269874573
TEST_00003,0.0002632287796586752,0.9998113512992859
TEST_00004,0.0059715318493545055,0.9934735894203186
TEST_00005,0.0002008227602345869,0.9997900128364563
TEST_00006,0.07789084315299988,0.9585412740707397
TEST_00007,0.06987298280000687,0.9250959157943726
TEST_00008,3.474431287031621e-05,0.9999732971191406
TEST_00009,0.014153205789625645,0.9877235889434814
TEST_00010,0.9877339601516724,0.01440048310905695
TEST_00011,0.07553231716156006,0.9450112581253052
TEST_00012,4.935049219056964e-06,0.9999953508377075
TEST_00013,0.0028255213983356953,0.9967564940452576
TEST_00014,0.9980536699295044,0.0020907351281493902
TEST_00015,0.0002289323601871729,0.9997424483299255
TEST_00016,0.0004584863781929016,0.9995781779289246
TEST_00017,0.9994747042655945,0.000748109188862145
TEST_00018,1.5594151747677643e-08,1.0
TEST_00019,0.9559558033943176,0.04150029644370079
TEST_00020,0.07977025210857391,0.9176572561264038
TEST_00021,0.008546887896955013,0.9909437298774719
TEST_00022,0.8470398783683777,0.1861068457365036
TEST_00023,0.9830943942070007,0.01740209572017193
TEST_00024,0.30080777406692505,0.7074385285377502
TEST_00025,0.9975904226303101,0.0023633420933037996
TEST_00026,0.44195330142974854,0.5314105153083801
TEST_00027,2.465338488910618e-10,1.0
TEST_00028,0.9787610769271851,0.024604978039860725
TEST_00029,0.9545210599899292,0.045198939740657806
TEST_00030,6.4146593103942e-07,0.9999992847442627
TEST_00031,0.33401891589164734,0.6515399217605591
TEST_00032,0.0018145224312320352,0.9981595873832703
TEST_00033,0.01390998438000679,0.9865912795066833
TEST_00034,1.519554530204914e-06,0.9999985694885254
TEST_00035,0.01558254286646843,0.9849061369895935
TEST_00036,2.4645929730823205e-16,1.0
TEST_00037,8.081552368821576e-05,0.9998974800109863
TEST_00038,0.006695425137877464,0.9936054944992065
TEST_00039,0.993901252746582,0.006480390205979347
TEST_00040,6.327170454234476e-10,1.0
TEST_00041,0.0006957590812817216,0.9991649389266968
TEST_00042,0.003829566529020667,0.9962206482887268
TEST_00043,0.0004724043537862599,0.9995077848434448
TEST_00044,0.9997480511665344,0.00026549340691417456
TEST_00045,0.21039743721485138,0.8008848428726196
